Airport.Code,Airport.Name,Time.Month,Time.Month Name,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Security,Statistics.# of Delays.Weather,Statistics.Carriers.Names,Statistics.Carriers.Total,Statistics.Flights.Cancelled,Statistics.Flights.Delayed,Statistics.Flights.Diverted,Statistics.Flights.On Time,Statistics.Flights.Total,Statistics.Minutes Delayed.Carrier,Statistics.Minutes Delayed.Late Aircraft,Statistics.Minutes Delayed.National Aviation System,Statistics.Minutes Delayed.Security,Statistics.Minutes Delayed.Total,Statistics.Minutes Delayed.Weather
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",12,December,2009,891,1067,1012,13,129,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",15,242,3112,41,12222,15617,46753,58233,32067,429,146311,8829
SAN,"San Diego, CA: San Diego International",12,December,2009,424,624,427,6,46,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.",14,103,1530,27,4901,6561,19155,32122,15637,175,70135,3046
SEA,"Seattle, WA: Seattle/Tacoma International",12,December,2009,424,511,361,5,52,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",13,45,1355,4,6424,7828,22049,31539,11930,244,69571,3809
SFO,"San Francisco, CA: San Francisco International",12,December,2009,515,969,1566,9,106,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.",14,255,3168,16,7963,11402,33799,64193,96969,316,203884,8607
SLC,"Salt Lake City, UT: Salt Lake City International",12,December,2009,572,1171,911,6,86,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",12,190,2748,18,7378,10334,32698,67431,32883,195,140089,6882
TPA,"Tampa, FL: Tampa International",12,December,2009,539,573,563,10,55,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,ExpressJet Airlines Inc.",12,86,1739,6,4112,5943,26821,34371,20001,244,86976,5539
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1,January,2010,1176,1837,2648,9,234,"Pinnacle Airlines Inc.,American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",15,1148,5908,74,26599,33729,103263,114573,144184,303,385173,22850
BOS,"Boston, MA: Logan International",1,January,2010,505,514,895,8,63,"Pinnacle Airlines Inc.,American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",15,279,1989,9,6635,8912,29853,36329,43836,995,116343,5330
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",1,January,2010,435,647,414,7,48,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",12,117,1549,6,6263,7935,18764,32665,13217,441,67751,2664
CLT,"Charlotte, NC: Charlotte Douglas International",1,January,2010,524,414,809,5,58,"Pinnacle Airlines Inc.,American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,American Eagle Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",14,325,1813,3,7723,9864,28438,24802,25401,268,83586,4673
DCA,"Washington, DC: Ronald Reagan Washington National",1,January,2010,350,261,405,8,39,"Pinnacle Airlines Inc.,American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,ExpressJet Airlines Inc.",12,230,1063,16,5060,6369,16821,15292,14052,686,50035,3184
DEN,"Denver, CO: Denver International",1,January,2010,682,1134,751,13,103,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",13,307,2680,36,15976,18999,38660,66117,26401,372,141178,9628
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1,January,2010,741,1519,1116,10,166,"Pinnacle Airlines Inc.,American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",14,590,3550,97,18319,22556,55274,83668,41164,417,193306,12783
DTW,"Detroit, MI: Detroit Metro Wayne County",1,January,2010,695,777,1240,17,64,"Pinnacle Airlines Inc.,American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",15,288,2793,21,9636,12738,50806,45519,40111,660,141855,4759
EWR,"Newark, NJ: Newark Liberty International",1,January,2010,298,452,1705,9,62,"Pinnacle Airlines Inc.,American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",11,225,2528,17,6601,9371,21373,32522,104937,307,164889,5750
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1,January,2010,421,386,423,9,35,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,Comair Inc.,US Airways Inc.,Southwest Airlines Co.",10,48,1276,5,4421,5750,21321,25319,15062,569,64936,2665
IAD,"Washington, DC: Washington Dulles International",1,January,2010,425,262,357,3,54,"Pinnacle Airlines Inc.,American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,Comair Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",13,132,1098,4,4504,5738,24644,18601,16229,83,63482,3925
JFK,"New York, NY: John F. Kennedy International",1,January,2010,461,477,1009,3,58,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,American Eagle Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",8,210,2007,18,7327,9562,33727,35415,59514,193,133503,4654
LAS,"Las Vegas, NV: McCarran International",1,January,2010,466,710,539,16,118,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.",13,131,1852,17,9915,11915,25342,39775,34099,792,110648,10640
LAX,"Los Angeles, CA: Los Angeles International",1,January,2010,672,1077,791,20,64,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.",14,314,2626,20,13104,16064,39186,65439,26588,1236,136435,3986
LGA,"New York, NY: LaGuardia",1,January,2010,398,344,713,3,81,"Pinnacle Airlines Inc.,American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",14,363,1537,42,6103,8045,24508,20657,40465,103,92230,6497
MCO,"Orlando, FL: Orlando International",1,January,2010,621,641,693,13,41,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,ExpressJet Airlines Inc.",11,85,2012,8,7957,10062,32181,39145,24000,903,98368,2139
MDW,"Chicago, IL: Chicago Midway International",1,January,2010,348,517,350,8,54,"Pinnacle Airlines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,Comair Inc.,Southwest Airlines Co.",7,173,1276,16,5243,6708,15320,26151,12491,193,56908,2753
MIA,"Miami, FL: Miami International",1,January,2010,402,383,472,8,52,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,ExpressJet Airlines Inc.",9,96,1317,4,4411,5828,24580,21631,14909,946,65177,3111
MSP,"Minneapolis, MN: Minneapolis-St Paul International",1,January,2010,503,451,548,8,41,"Pinnacle Airlines Inc.,American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,ExpressJet Airlines Inc.",12,182,1549,9,7588,9328,33579,26934,17281,251,81884,3839
ORD,"Chicago, IL: Chicago O'Hare International",1,January,2010,1028,1760,2198,7,170,"Pinnacle Airlines Inc.,American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",14,927,5164,20,19349,25460,73601,105689,86900,232,279701,13279
PDX,"Portland, OR: Portland International",1,January,2010,171,265,85,5,13,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",11,38,537,2,3465,4042,8229,14993,2410,117,26311,562
PHL,"Philadelphia, PA: Philadelphia International",1,January,2010,377,359,636,9,45,"Pinnacle Airlines Inc.,American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,ExpressJet Airlines Inc.",12,176,1424,20,5487,7107,20112,21664,25514,263,70447,2894
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1,January,2010,603,674,524,12,68,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",14,444,1878,86,12879,15287,31672,36807,17150,412,90522,4481
SAN,"San Diego, CA: San Diego International",1,January,2010,306,384,229,6,37,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.",13,136,963,30,5209,6338,13933,19421,8345,631,44381,2051
SEA,"Seattle, WA: Seattle/Tacoma International",1,January,2010,286,363,253,9,28,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,55,940,4,6349,7348,15668,21770,7439,663,47349,1809
SFO,"San Francisco, CA: San Francisco International",1,January,2010,359,904,2184,6,103,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.",13,446,3555,42,7236,11279,25773,71333,150748,501,256504,8149
SLC,"Salt Lake City, UT: Salt Lake City International",1,January,2010,387,602,498,6,60,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",11,147,1554,20,8731,10452,21916,31383,14336,166,72284,4483
